# x y u v xphi yphi phi_l0_x phi_l0_x phi_l1_x phi_l1_x phi_l2_x phi_l2_x
172.200000 145.200000 0.000000 -15.000000 172.199993 145.200005 0.000000 -0.999999 -0.185341 -0.981791 -0.176820 -0.983267
172.200000 145.200000 0.000000 -15.000000 172.199993 145.200005 0.000000 -0.999999 -0.185341 -0.981791 -0.176820 -0.983267
172.200000 145.200000 0.000000 -15.000000 172.199993 145.200005 0.000000 -0.999999 -0.185341 -0.981791 -0.176820 -0.983267
172.171563 144.305010 -1.115588 -14.958458 172.171555 144.305000 0.000000 -0.999999 -0.158297 -0.986852 -0.166450 -0.985345
171.934907 142.679087 -3.369368 -14.616681 171.934910 142.679081 0.000000 -0.999999 -0.111942 -0.993437 -0.141662 -0.989543
171.448860 141.090633 -5.500202 -13.955206 171.479416 141.169853 0.000000 -0.999999 -0.072013 -0.997010 -0.110449 -0.992336
170.709995 139.524874 -7.370644 -13.064211 170.709991 139.524879 0.000000 -0.999999 -0.033817 -0.999185 -0.069553 -0.995156
169.640089 137.885452 -9.070804 -11.946569 169.640083 137.885456 0.000000 -0.999999 -0.002313 -0.999908 -0.023631 -0.997369
168.408350 136.433876 -10.376336 -10.831974 168.408356 136.433868 0.000000 -0.999999 0.020284 -0.999727 0.021894 -0.998987
167.079948 135.168396 -11.380947 -9.771082 167.079945 135.168400 0.000000 -0.999999 0.037820 -0.999199 0.064332 -0.996614
165.553111 133.969658 -12.236033 -8.676376 165.628090 134.023304 0.000000 -0.999999 0.052501 -0.998572 0.106044 -0.992711
163.995384 132.951354 -12.897745 -7.658209 163.995380 132.951355 0.000000 -0.999999 0.067092 -0.997731 0.149043 -0.988800
162.356155 132.054663 -13.437681 -6.665487 162.356148 132.054653 0.000000 -0.999999 0.081005 -0.996671 0.188416 -0.980685
160.649206 131.277656 -13.878672 -5.690559 160.563660 131.242218 0.000000 -0.999999 0.097297 -0.995160 0.229976 -0.972472
158.895745 130.622569 -14.243984 -4.702012 158.895741 130.622578 0.087556 -0.994101 0.113286 -0.993418 0.266924 -0.962520
157.252334 130.195272 -14.758336 -2.681702 157.252331 130.195274 0.366287 -0.928697 0.131311 -0.991193 0.303201 -0.951606
155.089773 129.848425 -14.866451 -1.997153 155.183525 129.861240 0.038904 -0.995828 0.159887 -0.986947 0.348878 -0.936068
153.202662 129.636091 -14.944952 -1.283910 153.296413 129.644375 0.000000 -0.999999 0.192398 -0.980989 0.389889 -0.919402
151.311131 129.519507 -14.991965 -0.490896 151.405783 129.522858 0.000000 -0.999999 0.233090 -0.971938 0.430875 -0.901408
149.041370 129.516351 -14.990777 0.525937 149.041367 129.516354 0.000000 -0.999999 0.299874 -0.953050 0.481393 -0.875063
147.155292 129.633826 -14.933724 1.408507 147.155294 129.633827 0.000000 -0.999999 0.368144 -0.928490 0.521391 -0.852015
145.280365 129.863036 -14.822869 2.298382 145.372972 129.848957 0.000000 -0.999999 0.445844 -0.893739 0.558360 -0.827913
143.422008 130.204170 -14.657404 3.187557 143.514442 130.184364 0.000000 -0.999999 0.539421 -0.840248 0.596873 -0.801297
141.537399 130.676139 -14.311208 4.493254 141.537399 130.676136 0.231065 -0.908060 0.646199 -0.760005 0.635090 -0.770826
140.938008 130.906058 -13.432757 6.675406 140.958300 130.896168 0.653987 -0.712260 0.678984 -0.730048 0.647112 -0.761064
140.555815 131.131539 -12.222840 8.694952 140.574512 131.118450 0.850842 -0.382892 0.703349 -0.707009 0.655948 -0.753806
140.109534 131.509674 -10.545319 10.667533 140.109529 131.509666 0.983315 -0.066812 0.736953 -0.673877 0.668027 -0.743739
139.300116 132.474302 -9.140078 11.893653 139.355354 132.402687 0.999999 -0.000000 0.792307 -0.606809 0.687940 -0.725074
138.202725 133.940944 -8.811959 12.138755 138.256540 133.867226 0.999999 -0.000000 0.863994 -0.501858 0.716790 -0.695817
136.975927 135.684324 -8.536231 12.334211 137.030125 135.605869 0.999999 -0.000000 0.917839 -0.394019 0.748631 -0.662108
135.883862 137.247075 -8.612532 12.281054 135.883865 137.247066 0.962479 -0.257933 0.950256 -0.310080 0.774633 -0.631939
134.803435 138.798796 -8.472802 12.377868 134.803438 138.798790 0.953174 -0.297657 0.967595 -0.250887 0.793769 -0.607496
133.842194 140.449075 -6.291547 13.616770 133.842192 140.449066 0.998796 -0.036385 0.978312 -0.206770 0.810627 -0.585120
133.126319 142.144564 -5.680233 13.882902 133.126316 142.144566 0.999999 -0.000000 0.983516 -0.180445 0.822665 -0.568059
132.392755 143.909931 -5.811415 13.828502 132.392759 143.909931 0.999999 -0.000000 0.986515 -0.163503 0.834100 -0.551510
131.610746 145.765052 -5.979858 13.756500 131.649094 145.676174 0.999999 -0.000000 0.987712 -0.156239 0.839867 -0.542740
130.750874 147.622981 -6.622610 13.458865 130.750875 147.622986 0.939970 -0.327851 0.987620 -0.156810 0.843447 -0.537196
129.918156 149.286354 -6.239716 13.640599 129.918156 149.286346 0.972389 -0.213301 0.986518 -0.163537 0.842704 -0.538350
129.346520 150.826498 -4.190053 14.402897 129.372292 150.739269 0.999430 -0.017220 0.984652 -0.174302 0.840724 -0.541421
128.744501 152.959347 -4.544223 14.295105 128.774061 152.864285 0.999999 -0.000000 0.980515 -0.196082 0.835365 -0.549562
128.043087 154.819667 -6.062979 13.720069 128.043089 154.819660 0.928193 -0.364435 0.974817 -0.222526 0.826564 -0.562707
127.284418 156.472180 -5.596194 13.916990 127.284422 156.472187 0.979010 -0.174957 0.967809 -0.251174 0.813220 -0.581379
126.764480 158.121549 -3.573086 14.568221 126.764479 158.121548 0.999999 -0.000000 0.959006 -0.283133 0.798286 -0.601216
126.224453 160.026330 -5.170352 14.080748 126.224451 160.026321 0.975697 -0.216874 0.945706 -0.324928 0.780486 -0.624258
125.401753 161.846967 -7.282703 13.113437 125.401754 161.846962 0.917394 -0.397977 0.926972 -0.374668 0.755702 -0.653478
124.266254 163.705827 -8.258656 12.521765 124.266253 163.705826 0.917394 -0.397977 0.899490 -0.436342 0.725099 -0.688231
123.154617 165.327743 -8.691501 12.225294 123.154621 165.327740 0.917394 -0.397977 0.865039 -0.500268 0.686254 -0.725262
122.004556 166.913699 -8.907788 12.068608 122.004557 166.913700 0.917394 -0.397977 0.822309 -0.568097 0.643013 -0.763162
120.837966 168.481670 -8.988427 12.008671 120.837965 168.481674 0.917394 -0.397977 0.766508 -0.640688 0.598194 -0.799710
119.504216 170.199369 -9.950174 11.224706 119.504213 170.199375 0.761442 -0.603099 0.693403 -0.719399 0.541390 -0.838740
118.073940 171.594271 -11.583531 9.530048 118.073940 171.594276 0.397977 -0.917394 0.615646 -0.787461 0.477170 -0.875449
116.357637 172.799391 -12.990750 7.499360 116.271143 172.850227 0.397977 -0.917394 0.518214 -0.854298 0.404315 -0.913687
114.470842 173.717793 -13.921914 5.583933 114.470844 173.717785 0.397977 -0.917394 0.421435 -0.905759 0.323000 -0.942393
112.591078 174.382519 -14.335502 4.415131 112.591076 174.382515 0.397977 -0.917394 0.318935 -0.946483 0.240442 -0.968655
110.680065 174.918846 -14.541435 3.680581 110.776110 174.894218 0.397977 -0.917394 0.216748 -0.974662 0.155703 -0.983896
